"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000133114",5.47781376910152,1.48384882781523,0.721324043691372,20.116809274811,4.28243095101955e-05,0.00143232501871207,"GPALPP1"
"ENSG00000198938",394.331755531853,1.48306317272132,0.442615373727086,10.5886005368905,0.00502012588728145,0.0352513593334895,"COX3"
"ENSG00000119522",3.45545689292907,1.48229555178283,0.748795905285272,12.2857165693187,0.00214877302743453,0.0207139123140124,"DENND1A"
"ENSG00000231690",2.57648972960145,1.48063960087862,1.03940332705291,10.6239952411446,0.00493206447698883,0.0348873932717252,"LINC00574"
"ENSG00000229754",31.5213693250635,1.4764771258461,1.87709180757906,16.202379755128,0.000303178178460131,0.00590586649469222,NA
"ENSG00000121940",14.9925406886311,1.47621750886993,0.673074024861717,19.4000900138883,6.12807369324506e-05,0.00189105005226367,"CLCC1"
"ENSG00000143126",5.80152245094147,1.47600447761679,0.57897456206382,12.0143441471968,0.00246103798330519,0.0225551934040437,"CELSR2"
"ENSG00000111348",20.7770098816159,1.47332647898076,1.79097479115868,12.5254295833797,0.0019060641990881,0.0193443691044857,"ARHGDIB"
"ENSG00000026025",8.17456580961107,1.47258260671274,0.736867870755981,15.2221504785688,0.000494939393985535,0.00818312771142421,"VIM"
"ENSG00000133703",6.01412674298552,1.46969286777479,1.16378074687351,11.2441080577306,0.00361720363251214,0.0286966020651908,"KRAS"
"ENSG00000103257",2.95397745748532,1.46745208934851,0.704235055758468,10.2430156080628,0.00596701901334343,0.0391438410110531,"SLC7A5"
"ENSG00000163684",5.98491923151497,1.46687941685878,1.07330554982275,18.3009963110237,0.00010616690194376,0.00280893325640256,"RPP14"
"ENSG00000132676",6.56486564954863,1.46679723818697,0.924506751815712,15.4076005785189,0.000451109574379038,0.00772210531077594,"DAP3"
"ENSG00000183624",3.52931525299899,1.46489742716885,1.05534117297204,25.9991284767644,2.26131458641626e-06,0.000138226103109904,"HMCES"
"ENSG00000182612",2.77914337706122,1.46370918636464,0.583027244169656,9.45959675464587,0.00882825083586438,0.0491608774294521,"TSPAN10"
"ENSG00000286447",4.68819894705563,1.46246521970321,0.321278585828359,18.1736720417656,0.000113145492759742,0.00293994005128489,"LOC124909397"
"ENSG00000142541",24.6165438113165,1.45808058485492,0.751290888940868,22.5346816385206,1.27836848741937e-05,0.000561848232735222,"RPL13A"
"ENSG00000141258",6.52874401929421,1.45589174049121,0.777542159383885,21.4155139711481,2.23707336784195e-05,0.000866268653168701,"SGSM2"
"ENSG00000164300",1.83354115918401,1.45144055434436,0.656446430706246,13.4386026459682,0.00120738148903108,0.0144397033553237,"SERINC5"
"ENSG00000119285",30.669742630466,1.45015033938124,0.780631599100987,10.6355239004607,0.00490371621430941,0.0347988242450395,"HEATR1"
"ENSG00000198804",441.250172472034,1.4489917333137,0.41414738799704,11.4001529153547,0.00334570964250347,0.0274716683667012,"COX1"
"ENSG00000168675",9.42022842398124,1.44785675334554,0.628691460619152,12.6314173979594,0.00180768420258558,0.0187393071917156,"LDLRAD4"
"ENSG00000147403",31.4793776952573,1.4472986153011,0.784052834926802,11.0031806065811,0.00408027739751384,0.0310280007626005,"RPL10"
"ENSG00000167671",6.33894365765931,1.44608561750442,0.729063060827473,30.884331471475,1.96586020958286e-07,1.86686510617172e-05,"UBXN6"
"ENSG00000133958",2.98546710767071,1.44263786028683,0.822708253702685,10.4546711895419,0.00536780828284408,0.0367308350464959,"UNC79"
"ENSG00000185070",4.3618573350603,1.44130970659331,0.677237670703543,10.5105393320159,0.00521993846219839,0.0361636427158841,"FLRT2"
"ENSG00000143947",4.76461964580308,1.43604115132533,1.29935560455073,24.1479844018584,5.70600059481506e-06,0.000295563420421037,"RPS27A"
"ENSG00000151414",1.34400720547545,1.43442944127254,0.746994326030111,10.6145420215623,0.00495543160137245,0.0349818388355292,"NEK7"
"ENSG00000093183",17.2490192168781,1.43333531836702,1.02962257456996,37.1827904143162,8.43062264403257e-09,1.37247095574383e-06,"SEC22C"
"ENSG00000197576",5.0142189999656,1.42429111651043,1.1165994696631,24.6866925916402,4.35865821936238e-06,0.000242292798716751,"HOXA4"
"ENSG00000023330",17.034031573152,1.42394338087382,1.06678198336736,37.7026284454195,6.50097141525893e-09,1.12735323868523e-06,"ALAS1"
"ENSG00000108312",8.86225546641305,1.42318537338918,0.742157376879639,10.8714182543237,0.00435814344722895,0.0322644178919214,"UBTF"
"ENSG00000236915",4.46548064359568,1.42069812764919,0.98133109868395,13.600187390351,0.00111367079737548,0.0138122698967631,"CLCA4-AS1"
"ENSG00000203739",1.94698666876676,1.41635771786329,0.900869166810399,10.1342814610371,0.00630040897819083,0.0404445385755583,"PRDX6-AS1"
"ENSG00000174175",4.7503210898471,1.4153960545299,1.71396960979015,11.3282878502858,0.00346811546870814,0.028114997046631,"SELP"
"ENSG00000197837",5.61975452887348,1.41460795077546,1.0753418502108,16.453434107884,0.000267412792549359,0.00545563132011826,"H4C16"
"ENSG00000167202",4.63311836587647,1.41314599763558,0.906851075600529,12.7901642122097,0.00166974876146956,0.0177658355694995,"TBC1D2B"
"ENSG00000163635",6.61081651454315,1.40674193141221,0.687337932274222,21.6593757491888,1.98027869603753e-05,0.000801862089253368,"ATXN7"
"ENSG00000145819",5.65218412593198,1.40550720320719,0.90718870449436,12.9083388786747,0.0015739459964349,0.0170589228445125,"ARHGAP26"
"ENSG00000084731",1.94905824141498,1.40270606447924,0.695128751629669,11.3017308292284,0.00351447398131835,0.0282825325863745,"KIF3C"
"ENSG00000109685",8.5030913196719,1.40137495678491,0.757046350664884,11.3595685679683,0.00341429488205072,0.0278342670149398,"NSD2"
"ENSG00000143815",16.6243561055908,1.39938894911054,1.10938980129406,40.6447670660181,1.4931415212798e-09,3.60933027734816e-07,"LBR"
"ENSG00000172575",1.92497439052056,1.39322785838954,0.890974493970625,14.1620201723629,0.000840923314228565,0.0114985848927672,"RASGRP1"
"ENSG00000224032",17.0523336049453,1.38968886502761,1.28159670647962,23.638807991859,7.36034319960534e-06,0.00036020526198314,NA
"ENSG00000135775",18.8661170058531,1.38623915373488,0.960389033137585,26.2241064811852,2.02072693880693e-06,0.000128789219187644,"COG2"
"ENSG00000135090",5.15821018106964,1.38416803831427,0.757874378727093,15.8805588675329,0.000356106956094748,0.00658323334592771,"TAOK3"
"ENSG00000003147",16.4030835422443,1.38079764970738,1.35046510651071,29.2306591580207,4.49410290562074e-07,3.87561717601478e-05,"ICA1"
"ENSG00000136051",17.4194776923544,1.37904879018997,1.37130425398579,23.7881994028811,6.83058865485282e-06,0.000338432333538888,"WASHC4"
"ENSG00000189127",4.94973280212415,1.37859205644419,0.3357997718888,16.1125746524552,0.000317101918521799,0.00608789892671093,"ANKRD34B"
"ENSG00000176293",10.1335176399542,1.37655910393284,0.628725704697602,13.7961435601882,0.00100973053566768,0.0129786435646271,"ZNF135"
"ENSG00000069188",21.781453437639,1.37272338592727,0.808775356112416,27.0187959023401,1.35813523319216e-06,9.54523766975672e-05,"SDK2"
"ENSG00000166925",1.92280390144138,1.37144379411485,0.852038631141211,10.0527613142369,0.00656251964779976,0.0412164989013429,"TSC22D4"
"ENSG00000108010",5.44456029685971,1.37131007703899,1.25852144168158,12.7007996960565,0.00174604884247779,0.0182600429419798,"GLRX3"
"ENSG00000257379",5.12579203287393,1.36950028671772,1.56085379835653,9.64195142172701,0.00805892012584367,0.0466740900248,NA
"ENSG00000204217",1.97115638530924,1.36875833275102,0.882239954220178,12.4554381057692,0.00197394923941292,0.0197073755729622,"BMPR2"
"ENSG00000080839",16.5186841150734,1.36474062953459,1.34561311239433,26.593892891937,1.67961417952501e-06,0.000111652352583925,"RBL1"
"ENSG00000169635",5.42736828768838,1.36303903753203,0.82626451368488,15.5347397654813,0.000423325198824032,0.0073570045991706,"HIC2"
"ENSG00000180357",6.92280312022164,1.36022454236579,0.754764716234124,11.8359048750654,0.00269070392476425,0.0239550727766121,"ZNF609"
"ENSG00000141127",1.15389039971483,1.35714720726413,0.945510473108673,9.54321673940285,0.00846675153631803,0.0479921635360882,"PRPSAP2"
"ENSG00000135119",3.35508201652412,1.35585338553616,0.88252003071235,11.0888183605045,0.00390925218522605,0.0301475560555682,"RNFT2"
"ENSG00000169554",12.7504627637819,1.35506459521776,0.758247916176882,14.7546997428097,0.000625255700306229,0.00949127444594251,"ZEB2"
"ENSG00000156265",16.6411788742438,1.35449904459375,1.26472275374983,27.9878956746607,8.36576525841956e-07,6.41670283330893e-05,"MAP3K7CL"
"ENSG00000148516",10.666818420332,1.35357079617949,1.12719280289309,14.7350782107035,0.000631420127135701,0.00955756803446203,"ZEB1"
"ENSG00000196739",7.95228222888402,1.35346335781714,0.622627941718897,18.0976503405134,0.000117529032445641,0.00303899219390236,"COL27A1"
"ENSG00000198947",8.99504579944556,1.35059192319856,0.596779598054739,12.7365292085168,0.00171513307905451,0.0180615400285384,"DMD"
"ENSG00000142347",23.5934186367083,1.34855899096344,0.82648576042764,38.919496711995,3.53784392532035e-09,7.23625153648217e-07,"MYO1F"
"ENSG00000238005",3.54754778338385,1.34478674805852,0.622284516562549,11.4285245653065,0.0032985830462192,0.0272248287218733,"LNCATV"
"ENSG00000083642",2.70803815216555,1.3440280229844,0.805178773759822,12.7232288760677,0.0017265770089702,0.0181222431586254,"PDS5B"
"ENSG00000277363",12.8309356379223,1.33810863990691,0.525823085393169,10.9184710737325,0.00425680867458349,0.0318392525055345,"SRCIN1"
"ENSG00000287425",3.44928970578924,1.33662133096697,1.46319716549924,13.6695206780938,0.00107572509366227,0.0135668918136662,NA
"ENSG00000129038",1.95400936596227,1.33537929165876,0.636706000641109,9.85381051242894,0.00724890209892139,0.0436081593999967,"LOXL1"
"ENSG00000105135",1.81503598392937,1.33374219126229,0.820412778024095,17.9419878370227,0.000127041860127468,0.00321208531929259,"ILVBL"
"ENSG00000144711",10.2394397381546,1.33351435902393,0.608447063173696,14.5037270651738,0.000708852188091275,0.0102910549679499,"IQSEC1"
"ENSG00000164663",3.74901783138155,1.33311909947605,0.751912705904146,11.2638896216739,0.0035816030092637,0.0285369139516088,"USP49"
"ENSG00000050426",4.87699349073895,1.33215685336116,1.28478525545518,20.3156115564229,3.87722498135487e-05,0.001319041776004,"LETMD1"
"ENSG00000160299",12.5560749418675,1.33132863683383,0.656521393632559,9.93657494196907,0.00695504856430692,0.0426280617729361,"PCNT"
"ENSG00000283662",2.80646220012531,1.32448445596359,1.10161468638244,11.0169836820713,0.00405221416018057,0.0308882105645106,NA
"ENSG00000129250",19.1784164216584,1.31508390089005,0.712828758270494,49.2506123572173,2.02006531353964e-11,1.3422279804846e-08,"KIF1C"
"ENSG00000228956",20.0788536104483,1.31374933766274,0.899335075525271,24.9969351916947,3.73236828869096e-06,0.00021342725332536,NA
"ENSG00000142208",5.25728753347869,1.31099138645798,0.697833585230382,11.845988038566,0.00267717265911354,0.023914676709685,"AKT1"
"ENSG00000065615",3.61608980467677,1.31034074338606,1.08029408272354,11.736156901208,0.00282830283942607,0.0246303185044779,"CYB5R4"
"ENSG00000111726",3.28498785081838,1.30734559898575,1.49688526657001,14.8390003419134,0.000599448692513406,0.00923127841733483,"CMAS"
"ENSG00000165678",16.3554074880932,1.30616750054102,1.263001179027,34.072633284872,3.99228640859777e-08,4.78894265885479e-06,"GHITM"
"ENSG00000092931",29.8197492152808,1.30408829281541,0.67062539758661,16.2272997856147,0.000299424010798251,0.00584701428185472,"MFSD11"
"ENSG00000100139",6.19595324508495,1.30356249731033,0.864204474807766,10.9212657961579,0.00425086452927803,0.0318097057692784,"MICALL1"
"ENSG00000100567",16.2649314789157,1.30339339342859,1.43739686035392,25.3252587540696,3.1673053558721e-06,0.000184041210655744,"PSMA3"
"ENSG00000113163",1.86198491224157,1.30266067028222,0.889251824356841,10.1474019235231,0.00625921211658521,0.0403023411566207,"CERT1"
"ENSG00000100023",13.1770820251065,1.29691098971291,0.68915518385334,11.5299598229637,0.00313545834986026,0.0263834928869571,"PPIL2"
"ENSG00000259029",16.3545862008149,1.2944202153639,0.757870709557578,24.0308084702497,6.05029071430445e-06,0.000308390856408988,"DUX4L18"
"ENSG00000133627",1.52667715662617,1.29116134390385,0.845684452732516,11.9351710959039,0.00256041596348958,0.0232227835597002,"ACTR3B"
"ENSG00000291186",13.3253227223859,1.28631784673989,0.981209424520739,32.5600889046121,8.50484747098372e-08,9.42266226056072e-06,NA
"ENSG00000129128",2.74099924905715,1.28540972461722,1.01547029502974,14.1933557238851,0.000827850593956169,0.011346673862523,"SPCS3"
"ENSG00000109689",6.94801014221722,1.28160281670851,0.974233491569137,10.986723555675,0.00411399057859649,0.0311797234054592,"STIM2"
"ENSG00000214776",3.23291038395824,1.28011443842974,1.38832229083919,19.1310993301686,7.01026707795202e-05,0.00209441574834544,NA
"ENSG00000113580",6.37292818237507,1.27975528833865,0.919065576153789,17.2950008530128,0.000175565138126125,0.00408900177177255,"NR3C1"
"ENSG00000170390",4.3256858599458,1.27676948257588,0.995625224374641,12.4703686961716,0.00195926799372786,0.0196115292731184,"DCLK2"
"ENSG00000131650",5.99415057985769,1.27606319771682,0.724295512976485,14.7108080846915,0.000639129130178653,0.00963768066433859,"KREMEN2"
"ENSG00000247828",5.37061088628616,1.27526917092,0.895894504435305,12.0895146957923,0.00237025591679151,0.0220121855690544,"TMEM161B-DT"
"ENSG00000137073",3.43104869655975,1.27488135454637,0.895088193148554,12.5283026437662,0.00190332804606953,0.0193288960197284,"UBAP2"
"ENSG00000148408",7.87671747801999,1.27353683655417,0.634552909084714,12.946388475911,0.00154428503237689,0.0168866946430383,"CACNA1B"
"ENSG00000166946",7.30190490122149,1.27319499714173,0.821475927644094,12.188599269358,0.00225568939424958,0.0212816490809331,"CCNDBP1"
"ENSG00000220157",1.05351199496099,1.27136817467084,0.42365562423252,12.5887222973477,0.0018466886757723,0.0189710696286357,NA
"ENSG00000284606",3.42932034616145,1.27002936286536,1.59923435778872,11.4368738472792,0.00328484134951971,0.0271676303215331,NA
"ENSG00000288558",17.240869249584,1.26962335626721,1.41133809635886,18.0018529160639,0.000123295523028941,0.00314226321789732,"DUS4L-BCAP29"
"ENSG00000224281",11.7859596728736,1.26628146562328,0.832163243264719,9.41129370515819,0.00904406215046687,0.0497796216349161,"SLC25A5-AS1"
"ENSG00000187535",6.53978339144285,1.26434555675527,0.586704895128684,11.7232446071876,0.00284662184982818,0.0247162118270662,"IFT140"
"ENSG00000119771",3.71714778871688,1.26055942973786,0.687307293087769,9.78896202749877,0.00748779427794428,0.0446233213997594,"KLHL29"
"ENSG00000085831",7.2700541847584,1.25929769028093,0.795065000639258,23.3684184323364,8.42582455767044e-06,0.000398889035587757,"TTC39A"
"ENSG00000110042",4.18378056468697,1.25869343101575,0.802653096595985,25.8682338677513,2.41426193662171e-06,0.000144801259161138,"DTX4"
"ENSG00000261360",2.22044459416391,1.2585461277679,1.11014334411562,10.1527986646158,0.00624234520978306,0.0402816632364334,"OTULIN-DT"
