"genes","value","phenotype","symbol"
"ENSG00000105137",-0.380797783650073,"LumB","SYDE1"
"ENSG00000224893",-0.381046672396879,"HER2","LINC02840"
"ENSG00000114124",-0.381540538947016,"LumB","GRK7"
"ENSG00000101384",-0.381637588677298,"LumB","JAG1"
"ENSG00000105325",-0.381923744598204,"LumB","FZR1"
"ENSG00000180769",-0.381970272029985,"LumB","WDFY3-AS2"
"ENSG00000071282",-0.38216187313828,"HER2","LMCD1"
"ENSG00000169297",-0.382775133237551,"LumB","NR0B1"
"ENSG00000164031",-0.382842429543078,"LumB","DNAJB14"
"ENSG00000100802",-0.382900521671937,"LumB","C14orf93"
"ENSG00000163539",-0.382902032523543,"HER2","CLASP2"
"ENSG00000204084",-0.382924013839817,"HER2","INPP5B"
"ENSG00000166233",-0.38359071455318,"LumB","ARIH1"
"ENSG00000213020",-0.383667564855009,"HER2","ZNF611"
"ENSG00000189238",-0.383846530922817,"HER2","LINC00943"
"ENSG00000185808",-0.384047227952293,"HER2","PIGP"
"ENSG00000148908",-0.384089083144873,"TN","RGS10"
"ENSG00000100934",-0.384170334754538,"HER2","SEC23A"
"ENSG00000111860",-0.384496575174625,"HER2","CEP85L"
"ENSG00000205542",-0.384541692432776,"LumB","TMSB4X"
"ENSG00000204427",-0.384764348674281,"LumB","ABHD16A"
"ENSG00000167286",-0.385274046771567,"HER2","CD3D"
"ENSG00000169031",-0.385690303189149,"HER2","COL4A3"
"ENSG00000173852",-0.386186458297211,"LumB","DPY19L1"
"ENSG00000137831",-0.386481532990086,"LumB","UACA"
"ENSG00000100412",-0.386882742315832,"LumB","ACO2"
"ENSG00000081307",-0.386904584131135,"LumB","UBA5"
"ENSG00000175592",-0.38711462497867,"LumB","FOSL1"
"ENSG00000214756",-0.387285951974275,"LumB","CSKMT"
"ENSG00000118680",-0.387301275213299,"LumB","MYL12B"
"ENSG00000049167",-0.387377467078663,"LumB","ERCC8"
"ENSG00000164591",-0.387564512254498,"LumB","MYOZ3"
"ENSG00000254126",-0.387867711224829,"LumB","CD8B2"
"ENSG00000122547",-0.388277493032176,"HER2","EEPD1"
"ENSG00000247199",-0.388572323250499,"HER2","FBXO38-DT"
"ENSG00000290418",-0.389714834126144,"HER2","TPTEP1"
"ENSG00000206530",-0.389914533451731,"LumB","CFAP44"
"ENSG00000247624",-0.390230625194889,"LumB","CPEB2-DT"
"ENSG00000163728",-0.39062619900916,"HER2","TTC14"
"ENSG00000183091",-0.390643303297343,"HER2","NEB"
"ENSG00000143486",-0.390859308998686,"LumB","EIF2D"
"ENSG00000197555",-0.390954737457573,"HER2","SIPA1L1"
"ENSG00000092871",-0.391034186813142,"LumB","RFFL"
"ENSG00000111087",-0.391188626954253,"LumB","GLI1"
"ENSG00000277301",-0.391683868511956,"HER2","LOC101929698"
"ENSG00000183077",-0.391882869711998,"LumB","AFMID"
"ENSG00000179242",-0.39215238914592,"HER2","CDH4"
"ENSG00000213420",-0.392221124340479,"LumB","GPC2"
"ENSG00000197061",-0.392314211422792,"LumB","H4C3"
"ENSG00000226051",-0.392711164700977,"LumB","ZNF503-AS1"
"ENSG00000136238",-0.393323779778071,"LumB","RAC1"
"ENSG00000139219",-0.393329914178425,"HER2","COL2A1"
"ENSG00000106052",-0.393712737005519,"LumB","TAX1BP1"
"ENSG00000113108",-0.393983213164166,"TN","APBB3"
"ENSG00000186814",-0.394030183624728,"LumB","ZSCAN30"
"ENSG00000250754",-0.394108917941409,"LumB","LINC02436"
"ENSG00000137103",-0.394153094566986,"LumB","TMEM8B"
"ENSG00000161940",-0.394729735480015,"HER2","BCL6B"
"ENSG00000141040",-0.394849180474723,"HER2","ZNF287"
"ENSG00000168060",-0.395087749128015,"HER2","NAALADL1"
"ENSG00000186998",-0.395969759703717,"HER2","EMID1"
"ENSG00000122691",-0.396856111752212,"LumB","TWIST1"
"ENSG00000144711",-0.397338049176659,"LumB","IQSEC1"
"ENSG00000129990",-0.398749408129851,"LumB","SYT5"
"ENSG00000158691",-0.398907008377789,"LumB","ZSCAN12"
"ENSG00000012983",-0.399075009219365,"LumB","MAP4K5"
"ENSG00000162624",-0.399338075614875,"HER2","LHX8"
"ENSG00000267221",-0.400038309067634,"LumB","C17orf113"
"ENSG00000176225",-0.400094733184109,"HER2","RTTN"
"ENSG00000143183",-0.400330206857067,"LumB","TMCO1"
"ENSG00000136444",-0.400774276701235,"HER2","RSAD1"
"ENSG00000107736",-0.400852070691241,"HER2","CDH23"
"ENSG00000126522",-0.40159766721319,"HER2","ASL"
"ENSG00000178363",-0.40201838031795,"HER2","CALML3"
"ENSG00000007038",-0.402534904128534,"LumB","PRSS21"
"ENSG00000291200",-0.402649044125966,"HER2","RHOXF1P1"
"ENSG00000182612",-0.402913101459523,"HER2","TSPAN10"
"ENSG00000198198",-0.403269163993627,"LumB","SZT2"
"ENSG00000227252",-0.403302871598711,"HER2","LOC105373951"
"ENSG00000101193",-0.403425600482081,"LumB","GID8"
"ENSG00000119535",-0.40370650148221,"HER2","CSF3R"
"ENSG00000004975",-0.404099100463752,"HER2","DVL2"
"ENSG00000151914",-0.40417014858405,"HER2","DST"
"ENSG00000073711",-0.40473063514203,"LumB","PPP2R3A"
"ENSG00000184524",-0.405215184155516,"LumB","CEND1"
"ENSG00000139220",-0.405560061429396,"LumB","PPFIA2"
"ENSG00000278932",-0.406003571056543,"LumB","LOC105379428"
"ENSG00000181847",-0.406342616225109,"LumB","TIGIT"
"ENSG00000176623",-0.406418228843347,"HER2","RMDN1"
"ENSG00000225484",-0.40644554484204,"LumB","NUTM2B-AS1"
"ENSG00000135070",-0.406473383744243,"TN","ISCA1"
"ENSG00000179915",-0.406766135816782,"LumB","NRXN1"
"ENSG00000187048",-0.406834031501312,"HER2","CYP4A11"
"ENSG00000147164",-0.407472843496601,"LumB","SNX12"
"ENSG00000130038",-0.407636619368539,"HER2","CRACR2A"
"ENSG00000108576",-0.4079189397531,"HER2","SLC6A4"
"ENSG00000111696",-0.40806108167135,"LumB","NT5DC3"
"ENSG00000166507",-0.408112550440928,"LumB","NDST2"
"ENSG00000146857",-0.408571837234646,"LumB","STRA8"
"ENSG00000242715",-0.409053316384108,"LumB","CCDC169"
"ENSG00000245526",-0.409242734994663,"LumB","LINC00461"
"ENSG00000118432",-0.409308312279059,"LumB","CNR1"
"ENSG00000165240",-0.40939088052896,"LumB","ATP7A"
"ENSG00000198668",-0.409541683489343,"HER2","CALM1"
"ENSG00000157540",-0.409653953506507,"HER2","DYRK1A"
"ENSG00000198900",-0.409676448116373,"LumB","TOP1"
"ENSG00000143499",-0.409841530127649,"LumB","SMYD2"
"ENSG00000255408",-0.410128794414481,"HER2","PCDHA3"
"ENSG00000121064",-0.410579202825384,"HER2","SCPEP1"
"ENSG00000236778",-0.41057925548171,"HER2","INTS6-AS1"
"ENSG00000145975",-0.410791147356422,"TN","FAM217A"
"ENSG00000182310",-0.411039366902592,"LumB","SPACA6"
"ENSG00000163479",-0.411051867861627,"HER2","SSR2"
"ENSG00000172845",-0.411256277893524,"LumB","SP3"
"ENSG00000164520",-0.411368866613655,"LumB","RAET1E"
